diff flag,cas,nata.name,epa_list_name,trv_chem,epa-ure_ug-1m3,epa_inv_ure,trv_can1_ugm.3,epa_rfc_mg.3,epa_rfc_ug.m3,trv_noncan1_ugm.3,monitored by lab?
hi_diff,57-12-5,CYANIDE COMPOUNDS,Cyanide compounds,NA, ,, ,0.0008,0.8,,No
,60-35-5,ACETAMIDE,Acetamide,Acetamide,0.00002,0.05,0.05, ,,,No
hi_diff,67-56-1,METHANOL,Methanol,Methanol, ,, ,20,20000,4000,No
hi_diff,67-66-3,CHLOROFORM,Chloroform,Chloroform, ,, ,0.098,98,300,Yes
hi_diff,68-12-2,DIMETHYL FORMAMIDE,Dimethyl formamide,Dimethyl formamide, ,, ,0.03,30,80,No
hi_diff,71-43-2,BENZENE,Benzene,Benzene,0.0000078,0.128205128,0.128205128,0.03,30,3,Yes
,71-55-6,"1,1,1-TRICHLOROETHANE",,"1,1,1-Trichloroethane (Methyl chloroform)", ,, ,5,5000,5000,Yes
,74-83-9,METHYL BROMIDE (BROMOMETHANE),Methyl bromide,Bromomethane (Methyl bromide), ,, ,0.005,5,5,Yes
,74-87-3,METHYL CHLORIDE (CHLOROMETHANE),Methyl chloride,Chloromethane (Methyl chloride), ,, ,0.09,90,90,Yes
,7439-92-1,LEAD COMPOUNDS,Lead compounds,Lead and compounds, ,, ,0.00015,0.15,0.15,Yes
hi_diff,7439-96-5,MANGANESE COMPOUNDS,Manganese compounds,Manganese and compounds, ,, ,0.0003,0.3,0.09,Yes
,7439-97-6,MERCURY COMPOUNDS,,Mercury and compounds, ,, ,0.0003,0.3,0.3,No
both_diff,7440-02-0,NICKEL COMPOUNDS,Nickel compounds,Nickel and compounds,0.00048,0.002083333,0.003846154,0.00009,0.09,0.014,Yes
,7440-38-2,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),Arsenic compounds,Arsenic and compounds,0.0043,0.000232558,0.000232558,0.000015,0.015,0.015,Yes
hi_diff,7440-41-7,BERYLLIUM COMPOUNDS,Beryllium compounds,Beryllium and compounds,0.0024,0.000416667,0.000416667,0.00002,0.02,0.007,Yes
